Function,Best,Worst,Mean,Std
Sphere,4.1340094422e-10,5.4235640404e-08,1.4155416441e-08,1.3421741902e-08
Rastrigin,9.1712326212e+00,2.8007688839e+02,9.4248676102e+01,6.0902227516e+01
Ackley,6.3883686363e-06,1.9328804271e-04,4.0768723196e-05,4.2526825264e-05
Rosenbrock,2.6089489562e+01,2.9943020172e+01,2.7132424952e+01,8.3660835387e-01
Griewank,5.5113024144e-09,2.3483475701e-01,3.5602477702e-02,4.5041348285e-02
Schwefel,5.9323029389e+03,7.1518122441e+03,7.0208489855e+03,2.4735683874e+02
Zakharov,4.6183231452e+04,1.4988144624e+05,9.1951654923e+04,2.1492432903e+04
DixonPrice,6.6714811154e-01,6.9766087097e-01,6.7025686634e-01,5.7289518166e-03
Levy,8.1111093078e-01,7.3831660347e+03,8.6026728794e+02,1.6643191358e+03
Michalewicz,-1.3945658710e+01,-7.6302016308e+00,-1.0882015962e+01,1.5170538569e+00
